Id;Titulo;Isbn;Autor;Assunto;Valor;
197;Era no Tempo do Rei - Atualidade das Memórias de um Sargento de Milícias;978-85-7480-748-5;Edu Teruki Otsuka;Crítica literária, Literatura, Teoria literária;R$ 56,00;
198;EraOdito;85-7480-094-5;Marcelino Freire;Humor, Literatura brasileira, Ilustrado;R$ 48,00;
199;Esaú e Jacó;978-65-5580-000-5;José de Paula Ramos Jr., Machado de Assis, Paulo Franchetti;Ilustrado, Literatura brasileira, Romance;R$ 48,80;
200;Escrita de Deus, A;85-7480-282-4;Wilson Roberto Theodoro Filho;Literatura brasileira, Contos;R$ 49,00;
201;Escritores, Gatos e Teologia;978-85-7480-674-7;Waldecy Tenório;Literatura brasileira, Crítica literária, Religião;R$ 54,00;
202;Esplendor do Barroco Luso-brasileiro;978-85-7480-700-3;Benedito Lima de Toledo;Ilustrado, Arte, Arquitetura;R$ 120,00;
203;Espuma do Fogo, A;85-7480-097-X;Carlos Nejar;Literatura brasileira, Poesia;R$ 38,00;
204;Estados da Crítica;85-7480-322-7;Alcides Cardoso dos Santos;Crítica literária, Literatura;R$ 54,00;
205;Estimar Canções;978-85-74-80-737-9;Luiz Tatit;Arte, Música, Semiótica;R$ 46,00;
206;Estrelas Errantes - Memória do Teatro Ídiche no Brasil;978-85-7480-648-8;Nachman Falbel;Ilustrado, Judaísmo, Memória, História, Teatro;R$ 140,00;
207;Estudos Comparados - Teoria, Crítica e Metodologia;978-85-7480-677-8;Benjamin Abdala Jr.;Literatura brasileira, Crítica literária;R$ 75,00;
208;Estudos de Literatura Brasileira e Portuguesa;978-85-7480-353-1;Paulo Franchetti;Literatura brasileira, Crítica literária, Literatura portuguesa;R$ 65,00;
209;Euclides da Cunha: Uma Odisseia nos Trópicos;978-85-7480-440-8;Frederic Amory;Crítica literária, Biografia, Ilustrado;R$ 108,00;
210;Eugênio Montale - Criatividade Poética e Psicanálise;85-7480-084-8;Marisa Pelella Mélega;Crítica literária, Poesia, Literatura estrangeira, Psicanálise e Psicologia;R$ 44,00;
211;Eugênio Onêguin - Volume 1;978-85-7480-825-3;Elena Vássina, Aleksandr Púchkin, Alípio Correia de Franca Neto;Ilustrado, Romance, Literatura estrangeira, Poesia, Bilíngue, Tradução;R$ 78,00;
212;Exílio - As Histórias da Grande Peste;978-85-7480-364-7;Samuel Reibscheid;Literatura brasileira, Contos;R$ 52,00;
213;Extravio Marinho;978-85-7480-500-9;Simone Homem de Mello;Literatura brasileira, Poesia;R$ 47,00;
214;Farsa de Inês Pereira;978-8-57-480681-5;Izeti Fragata Torralvo, Carlos Cortez Minchillo, Gil Vicente;Cultura medieval, Idade média, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado;R$ 32,00;
215;Fascinação;978-85-7480-821-5;Luci Collin, Flavio de Souza;Ilustrado, Literatura brasileira, Romance, Literatura;R$ 49,90;
216;Fábulas para o Ano 2000;85-85851-61-9;Gustavo Martins, Rodrigo Lacerda;Literatura brasileira, Contos, Infantil, Ilustrado;R$ 38,00;
217;Fúria Azul - Antielegias;978-85-7480-593-1;Carlos Nejar;Literatura brasileira, Poesia;R$ 52,00;
218;Feito Eu;978-85-7480-342-5;Elisa Nazarian;Literatura brasileira, Poesia;R$ 41,00;
219;Ficção da Escrita, A;85-7480-228-X;Cláudia Amigo Pino;Crítica literária, Literatura, Criação;R$ 58,00;
220;Figurações do Oitocentos;978-85-7480-339-5;Paulo Motta Oliveira;Crítica literária, História, Teatro, Cultura, Estética;R$ 62,00;
221;Filho do Crucificado, O;85-7480-077-5;Nelson de Oliveira;Literatura brasileira, Contos;R$ 52,00;
222;Filosofando com o Miró;85-7480-004-X;Eduardo Etzel;Memória, Literatura brasileira;R$ 54,00;
223;Finnegans Wake - Finnicius Revém - Vol. Único;978-65-5580-069-2;James Joyce, Donaldo Schüler, Henrique Xavier;Literatura estrangeira, Literatura, Tradução;R$ 272,00;
224;Fluxo Silencioso das Máquinas, O;85-7480-087-2;Bruno Zeni;Literatura brasileira, Contos;R$ 38,00;
225;Fogos de Artifício: Flaubert e a Escritura;978-85-7480-454-5;Verónica Galíndez-Jorge;Crítica literária, Literatura estrangeira;R$ 51,00;
226;Forma do Livro, A - Ensaios sobre Tipografia e Estética do Livro;978-85-7480-361-6;Jan Tschichold;Tradução, Design, Tipografia, Editoração, Livros sobre livros, Artes gráficas, Ilustrado;R$ 93,00;
227;Fotografia & História;978-85-7480-683-9;Boris Kossoy;Memória, História, Fotografia, Ilustrado;R$ 52,00;
228;Fragmentos do Sol Chuvoso;978-85-7480-501-6;Lauro Henriques Jr.;Literatura brasileira, Poesia;R$ 43,00;
229;Franklin Távora e o seu Tempo;85-85851-47-3;Cláudio Aguiar;Biografia;R$ 40,00;
230;Frei Galvão - Arquiteto;978-85-7480-349-4;Benedito Lima de Toledo;Memória, Arquitetura, Patrimônio Histórico, Ilustrado;R$ 40,00;
231;Freud - A Conquista do Proibido;85-7480-010-4;Renato Mezan;Biografia;R$ 38,00;
232;Fronteiras Culturais - Brasil, Uruguai, Argentina;85-7480-122-4;Maria Helena Martins;Sociologia e Sociedade, Economia, Cultura;R$ 57,00;
233;Gérard de Nerval: A Escrita em Trânsito;978-85-7480-456-9;Marta Kawano;Crítica literária, Literatura estrangeira;R$ 53,00;
234;Gênero do Cuidado, O;9786-5558-002-41;Nadya Araujo Guimarães, Helena Sumiko Hirata;Sociologia e Sociedade, Cidadania;R$ 62,00;
235;Geórgicas;978-85-7480-838-3;Virgílio, Odorico Mendes, Paulo Sergio de Vasconcellos;Poesia, Bilíngue, Tradução, Literatura clássica, Odorico Mendes;R$ 98,00;
236;Gentíssima;978-85-7480-344-9;Maria Ignez Corrêa da Costa Barbosa;Memória, Entrevistas;R$ 59,00;
237;Geometrias de Cosmos;978-85-7480-828-4;Rodrigo Suzuki Cintra;Literatura, Poesia;R$ 49,50;
238;Gil Vicente - O Velho da Horta, Auto da Barca do Inferno, Farsa de Inês Pereira (40a ed.);978-85-7480-784-3;Segismundo Spina;Ilustrado, Literatura portuguesa, Literatura medieval, Teatro, Cultura medieval, Idade média;R$ 40,00;
239;Girassol Voltado para a Terra;978-85-7480-723-2;Renato Tardivo;Literatura brasileira, Contos, Ilustrado;R$ 44,00;
240;Goethe e Hackert - Sobre a Pintura de Paisagem;978-85-7480-262-6;Claudia Valladão de Mattos;Arte, Ilustração e pintura;R$ 44,00;
241;Graciliano na Terra de Camões;978-65-5580-018-0;Gustavo Piqueira, Thiago Mio Salla;Ilustrado, Literatura brasileira, Crítica literária, Literatura, Teoria literária;R$ 80,00;
242;Gramática Integral da Língua Portuguesa, 2a ed.;978-65-5580-057-9;Antônio Suárez Abreu;Comunicação, Escrita, Linguística;R$ 98,00;
243;Grito de Jorge Andrade, O - A Experiência de um Autor na Telenovela Brasileira dos Anos 1970;978-85-7480-655-6;Sabina Reggiani Anzuategui;Cultura, Televisão;R$ 47,00;
244;Guarani, O;978-65-5580-035-7;José de Alencar, Eduardo Vieira Martins, Luciana Rocha;Ilustrado, Literatura brasileira, Romance, Literatura;R$ 54,00;
245;Guimarães Rosa - Fronteiras, Margens, Passagens;85-7480-210-7;Marli Fantini Scarpelli;Literatura brasileira, Crítica literária;R$ 69,00;
246;Gustavo Giovannoni - Textos Escolhidos;978-85-7480-601-3;Beatriz Mugayar Kühl;Arquitetura, Restauração;R$ 53,00;
247;Hannah Arendt & Karl Marx - O Mundo do Trabalho;978-85-7480-790-4;Eugenia Sales Wagner;Política, Sociologia e Sociedade, Economia;R$ 57,00;
248;Hannah Arendt - Ética e Política;978-85-7480-705-8;Eugenia Sales Wagner;Política, Sociologia e Sociedade;R$ 67,00;
249;Herdando uma Biblioteca;978-65-5580-004-3;Miguel Sanches Neto;Crônicas, Livros sobre livros, Bibliofilia;R$ 51,00;
250;Hidra Vocal - Estudos sobre Retórica e Poética;978-65-5580-002-9;Maria do Socorro Fernandes de Carvalho, Marcelo Lachat, Lavínia Silvares;Crítica literária, Literatura, Poesia, Semântica;R$ 58,00;
251;Hino Homérico a Apolo, O;85-7480-091-0;Luiz Alberto Machado Cabral;Crítica literária, Poesia, Mitologia, Bilíngue, Ilustrado;R$ 82,00;
252;Hipóteses de Amor;85-7480-085-6;Annalisa Cima;Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução;R$ 83,00;
253;História da Língua Portuguesa;978-85-7480-398-2;-;Paleografia, História, Literatura, Linguística;R$ 105,00;
254;História das Aventuras de Joseph Andrews e seu Amigo o Senhor Abraham Adams, A;978-85-7480-532-0;Henry Fielding;Romance, Literatura estrangeira, Ilustrado, Tradução;R$ 116,00;
255;História de um Livro;978-65-5580-032-6;Marisa Midori Deaecto;Ilustrado, História, Política, Livros sobre livros, Bibliofilia;R$ 96,00;
256;História do PT (5a. ed.);978-85-7480-789-8;Lincoln Secco;Ilustrado, Política, História, Sociologia e Sociedade;R$ 49,00;
257;Histórias de Banheiro;978-85-7480-474-3;Dirce de Assis Cavalcanti;Literatura brasileira, Contos;R$ 45,00;
258;Histórias em Imagens e Versos - Wilhelm Busch;978-85-7480-771-3;Simone Homem de Mello, Guilherme de Almeida, Wilhelm Busch;Arte, Ilustração e pintura, Humor, Ilustrado, Artes gráficas, Bilíngue, Infantil, Tradução;R$ 82,00;
259;Hong Kong & Outros Poemas;85-85851-92-9;Antônio Moura;Literatura brasileira, Poesia;R$ 26,00;
260;Horizonte da Minha Pele, O;978-85-7480-549-8;Emilio Bejel;Tradução, Romance, Literatura estrangeira, Biografia;R$ 60,00;
261;Idade da Aurora, A;85-7480-150-X;Carlos Nejar;Literatura brasileira, Poesia;R$ 83,00;
262;Idade da Noite, A;85-7480-120-8;Carlos Nejar;Literatura brasileira, Poesia;R$ 87,00;
263;Idade Média no Cinema, A;978-85-7480-421-7;José Rivair Macedo, Lênia Márcia Mongelli;História, Cinema, Idade média, Cultura medieval;R$ 54,00;
264;Idiotas & Demagogos - Pequeno Manual de Instruções da Democracia;85-7480-121-6;Almyr Gajardoni;Política, Sociologia e Sociedade;R$ 52,00;
265;Ilhas Brasil;85-7480-124-0;Carlos Vogt;Literatura brasileira, Poesia;R$ 52,00;
266;Ilustre Casa de Ramires, A;978-85-7480-685-3;Marise Hansen, Eça de Queirós;Romance, Literatura portuguesa, Ilustrado;R$ 49,80;
267;Imagem Fria, A;85-7480-149-6;Tales Ab'Sáber;Cinema, Cultura;R$ 54,00;
268;Imagens do Poder em Sêneca;85-7480-310-3;Marilena Vizentin;Política, Sociologia e Sociedade, Economia;R$ 58,00;
269;Imigrantes Judeus do Oriente Médio - São Paulo e Rio de Janeiro;85-7480-162-3;Rachel Mizrahi;História, Judaísmo, Ilustrado;R$ 120,00;
270;Imigrantes, Mascates e Doutores;85-7480-107-0;Meir Kucinski;Ilustrado, Literatura brasileira, Contos, Judaísmo, Tradução;R$ 54,00;
271;Imprensa Confiscada pelo DEOPS - 1924-1954, A;85-7480-152-6;Maria Luiza Tucci Carneiro, Boris Kossoy;Política, Livros sobre livros, Memória, História, Censura, Jornalismo, Ilustrado;R$ 116,00;
272;Informação. Linguagem. Comunicação;978-85-7480-647-1;Décio Pignatari;Comunicação, Semiótica, Ilustrado;R$ 45,00;
273;Iniciação Boêmia & Textos Correlatos;978-85-7480-505-4;Nuno Fidelino de Figueiredo, Fidelino de Figueiredo;Memória, Crítica literária, História;R$ 49,00;
274;Inocência;978-85-7480-832-1;José de Paula Ramos Jr., Visconde de Taunay, Jefferson Cano, Kaio Romero;Ilustrado, Literatura brasileira, Romance;R$ 45,00;
275;Insólita Metrópole: São Paulo nas Crônicas de Paulo Bomfim;978-85-7480-636-5;Ana Luiza Martins;Literatura brasileira, Crônicas, História;R$ 84,00;
276;Intelecto em Ibn Sina (Avicena), O;978-85-7480-382-1;Miguel Attie Filho;Filosofia, Cultura árabe;R$ 65,00;
277;Interior Via Satélite;978-85-7480-470-5;Marcos Siscar;Literatura brasileira, Poesia, Ilustrado;R$ 58,00;
278;Interpretações: Crítica Literária e Psicanálise;978-85-7480-670-9;Cleusa Rios P. Passos, Yudith Rosenbaum;Crítica literária, Psicanálise e Psicologia;R$ 48,00;
279;Intervalo Semântico, O;978-85-7480-253-4;Carlos Vogt;Semântica, Argumentação, Linguística;R$ 58,00;
280;Intransitivos, Os;85-7480-146-1;Cacá Moreira de Souza;Literatura brasileira, Contos;R$ 59,00;
281;Introdução ao Estudo de Fernando Pessoa;978-85-7480-753-9;Fernando Cabral Martins;Crítica literária, Poesia, Literatura portuguesa, História;R$ 57,00;
282;Inula Niúla;978-85-7480-444-6;Michel Sleiman;Literatura brasileira, Poesia;R$ 43,00;
283;Iracema - Lenda do Ceará;85-7480-324-3;Paulo Franchetti, Leila Guenther, José de Alencar;Literatura brasileira, Romance, Ilustrado;R$ 45,50;
284;Irrecusável Busca de Sentido, A;85-7480-258-1;Scarlett Marton;Memória, Biografia, Filosofia;R$ 52,00;
285;Jacques Derrida - Entreatos de Leitura e Literatura-;978-85-7480-663-1;Roberto Said, Luiz Fernando Ferreira Sá;Crítica literária, Literatura estrangeira, Filosofia;R$ 57,00;
286;João Guimarães Rosa e a Saudade;85-7480-129-1;Susana Lages;Literatura brasileira, Crítica literária;R$ 42,00;
287;Jogo de Palavras;978-85-7480-783-6;Jacó Guinsburg;Poesia;R$ 58,00;
288;Jogo de Ronda;85-7480-026-0;Orlando Arruda;Literatura brasileira, Contos;R$ 52,00;
289;Jornada e a Clausura, A;85-7480-110-0;Raquel de Almeida Prado;Crítica literária, Literatura estrangeira;R$ 58,00;
290;José Saramago - 6 de Novembro de 1985;978-65-5580-040-1;Horácio Costa;Literatura portuguesa, Entrevistas;R$ 45,00;
291;Joyce Era Louco?;978-85-7480-764-5;Donaldo Schüler;Crítica literária, Psicanálise e Psicologia;R$ 55,00;
292;Judeus e Judaísmo na Obra de Lasar Segall;85-7480-259-X;Maria Luiza Tucci Carneiro, Celso Lafer;Ilustrado, Arte, Ilustração e pintura, Sociologia e Sociedade, Judaísmo;R$ 148,00;
293;Kalevala - Poema Primeiro;978-85-7480-714-0;Elias Lönnrot;Tradução, Mitologia, Poesia, Literatura estrangeira, Bilíngue;R$ 39,00;
294;Konstantinos Kaváfis - 60 Poemas;978-85-7480-780-5;Trajano Vieira, Konstantinos Kaváfis;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 46,00;
295;L'azur Blasé ou Ensaio do Fracasso sobre o Humor;978-85-7480-738-6;Guilherme Gontijo Flores;Poesia;R$ 44,90;
296;Lacraus;85-7480-204-2;Miguel Jorge;Literatura brasileira, Contos;R$ 57,00;
297;Laetitia, sp;978-85-7480-545-0;Gabriel Pedrosa;Literatura brasileira, Poesia, Ilustrado;R$ 39,00;
298;Lâmina do Tempo;85-7480-113-5;Moacyr Godoy Moreira;Literatura brasileira, Contos;R$ 45,00;
299;Lâmpada da Memória, A - 3. ed.;978-65-5580-050-0;John Ruskin;Tradução, Arquitetura, Restauração;R$ 42,00;
300;Leão, o Africano;978-85-7480-759-1;Murilo Sebe Bon Meihy;Ilustrado, História, Cultura islâmica, Cultura árabe;R$ 56,00;
301;Lei n. 12.343 de 2 de Dezembro de 2010;978-85-7480-652-5;-;Política, Economia, Cultura;R$ 38,00;
302;Leitor Segundo G.H., O - Uma Análise do Romance A Paixão Segundo G.H. de Clarice Lispector;85-7480-257-3;Emília Amaral;Literatura brasileira, Crítica literária;R$ 58,00;
303;Leituras Desarquivadas;978-85-7480-371-5;João Alexandre Barbosa;Crítica literária, Literatura;R$ 59,00;
304;Leituras Imediatas;978-85-7480-834-5;Jerusa Pires Ferreira;Ilustrado, Literatura brasileira, Comunicação, Crítica literária, Cordel;R$ 42,00;
305;Leituras Indispensáveis 2;978-85-7480-473-6;Aziz Ab Sáber;Educação e Pedagogia, Ecologia, Sociologia e Sociedade, Cidadania;R$ 23,00;
306;Lembranças de Esquecer;85-85851-42-2;Camilo Guimarães;Literatura brasileira, Poesia;R$ 38,00;
307;Leniza & Elis;85-7480-092-9;Ariovaldo José Vidal, Joaquim Alves de Aguiar;Crítica literária, Biografia;R$ 47,00;
308;Leopardo dos Olhos de Fogo;85-85851-69-4;Carlos Eugênio Marcondes de Moura;Ilustrado, Sociologia e Sociedade, Religião, Cultura;R$ 60,00;
309;Letras e Memória - Uma Breve História da Escrita;978-85-7480-414-9;Adovaldo Fernandes Sampaio;Livros sobre livros, Memória, História, Linguística, Escrita, Ilustrado;R$ 108,00;
310;Letras na Terra do Brasil, As;978-65-5580-062-3;Jean Pierre Chauvin, Marcelo Lachat;Ilustrado, Literatura brasileira, História, Filosofia, Estudos Literários;R$ 92,00;
311;Lição Aproveitada, A - Modernismo e Cinema em Mário de Andrade;978-85-7480-556-6;João Manuel dos Santos Cunha;Arte, Crítica literária, Cinema;R$ 55,00;
312;Lições de Taxidermia;978-85-7480-445-3;Fernando Antônio Dusi Rocha;Literatura brasileira, Poesia;R$ 45,00;
313;Lições do Acaso;978-85-7480-468-2;Luis Carlos de Menezes;Literatura brasileira, Poesia;R$ 45,00;
314;Liberalismo e Natureza - A Propriedade em John Locke;978-85-7480-476-7;Rodrigo Suzuki Cintra;Economia, Filosofia, Direito;R$ 45,00;
315;Linguística Cognitiva - Uma Visão Geral e Aplicada;978-85-7480-526-9;Antônio Suárez Abreu;Comunicação, Semiótica, Linguística, Cognição;R$ 45,00;
316;Lira dos Vinte Anos;978-85-7480-675-4;Álvares de Azevedo, José Emílio Major Neto;Literatura brasileira, Poesia, Ilustrado;R$ 48,80;
317;Literatulogia;85-85851-55-4;Janilto Andrade;Teoria literária, Literatura;R$ 26,00;
318;Literatura Comparada e Relações Comunitárias, Hoje;978-85-7480-627-3;Benjamin Abdala Jr.;Política, Literatura;R$ 60,00;
319;Literatura e Memória Política - Angola. Brasil. Moçambique. Portugal;978-85-7480-680-8;Benjamin Abdala Jr., Rejane Vecchia Rocha e Silva;Crítica literária, Literatura portuguesa, Política;R$ 63,00;
320;Literatura Grega: Irradiações;978-85-7480-800-0;Donaldo Schüler;História, Literatura clássica, Filosofia, Cultura grega;R$ 57,00;
321;Literatura, História e Política (3a. ed.);978-85-7480-769-0;Benjamin Abdala Jr.;Crítica literária, Literatura, História, Política;R$ 65,00;
322;Livro - Revista do NELE;2179-801X;NELE - Núcleo de Estudos do Livro e da Edição/USP;Editoração, Livros sobre livros, Bibliofilia, Artes gráficas;R$ 33,00;
323;Livro - Revista do NELE 09/10;9772179801092;NELE - Núcleo de Estudos do Livro e da Edição/USP;Ilustrado, Artes gráficas, Editoração, Livros sobre livros, Bibliofilia;R$ 124,00;
324;Livro 7/8 - revista do NELE;2179-801x;NELE - Núcleo de Estudos do Livro e da Edição/USP;Ilustrado, Artes gráficas, Editoração, Livros sobre livros, Bibliofilia;R$ 88,00;
325;Livro das Origens, O;978-65-5580-025-8;Geraldo Holanda Cavalcanti;Crítica literária, Teoria literária, Religião;R$ 85,00;
326;Livro e Liberdade;85-7480-178-X;Luciano Canfora;Editoração, Livros sobre livros, Cultura;R$ 31,00;
327;Livro n. 6 - Revista do NELE;2179-801x;NELE - Núcleo de Estudos do Livro e da Edição/USP;Ilustrado, Artes gráficas, Editoração, Livros sobre livros, Livrarias;R$ 88,00;
328;Livro n.3 - Revista do NELE;2179-801X;NELE - Núcleo de Estudos do Livro e da Edição/USP;Editoração, Livros sobre livros, Bibliofilia, Artes gráficas;R$ 53,00;
329;Livro n.4 - Revista do NELE;2179-801X;NELE - Núcleo de Estudos do Livro e da Edição/USP;Editoração, Livros sobre livros, Bibliofilia, Artes gráficas;R$ 55,00;
330;Livro n.5 - Revista do NELE;977-21-7980-100-9;NELE - Núcleo de Estudos do Livro e da Edição/USP;Artes gráficas, Editoração, Livros sobre livros, Bibliofilia;R$ 77,00;
331;Livro no Jornal, O;85-7480-082-1;Isabel Travancas;Editoração, Jornalismo, Livros sobre livros, Ilustrado;R$ 46,00;
332;Livros e Leituras na Espanha do Século de Ouro;978-85-7480-694-5;Antonio Castillo Gómez;Editoração, História, Livros sobre livros;R$ 56,00;
333;Livros e Subversão - Seis Estudos;978-85-7480-743-0;Sandra Reimão;Comunicação, História, Política, Livros sobre livros;R$ 52,00;
334;Livros Proibidos, Ideias Malditas;85-7480-071-6;Maria Luiza Tucci Carneiro;Ilustrado, Política, História, Censura, Livros sobre livros;R$ 60,00;
335;Livros, Editoras & Projetos;978-85-7480-356-2;Jerusa Pires Ferreira, Jacó Guinsburg, Plinio Martins Filho, Maria Otilia Bocchini;Livros sobre livros, Editoração;R$ 30,00;
336;Lodo;978-85-7480-436-1;Luis Dolhnikoff;Literatura brasileira, Poesia;R$ 62,00;
337;Luci Collin - Antologia Poética (1984-2018);978-85-7480-796-6;Luci Collin;Poesia;R$ 39,90;
338;Lugar, Tempo, Olhar - Arte Brasileira na França Românica;978-85-7480-439-2;Anne Louyot;Ilustrado, Arte, Ilustração e pintura, Arquitetura, Bilíngue;R$ 75,00;
339;Lusíadas, Os - Episódios;978-85-7480-802-4;Luís de Camões, Ivan Teixeira;Poesia, Literatura portuguesa, Ilustrado;R$ 46,50;
340;Machado e Rosa - Leituras Críticas;978-85-7480-508-5;Marli Fantini Scarpelli;Literatura brasileira, Crítica literária;R$ 89,00;
341;Macunaíma;978-85-7480-750-8;Mário de Andrade;Arte, Ilustrado, Literatura brasileira, Romance, Artes gráficas, Literatura;R$ 310,00;
342;Maias, Os;85-7480-044-9;Eça de Queirós;Romance, Literatura portuguesa;R$ 83,00;
343;Males do Tabaco e Outras Peças em um Ato, Os;85-7480-042-2;Anton Tchékhov;Literatura estrangeira, Teatro, Tradução;R$ 34,00;
344;Males do Tabaco, Os (3a. ed.);978-85-7480-842-0;Anton Tchékhov;Humor, Literatura estrangeira, Tradução, Teatro, Literatura clássica;R$ 46,00;
345;Malhas da Cultura 1, As;978-85-7480-650-1;José Guilherme Pereira Leite;Política, Economia, Cultura;R$ 47,00;
346;Malhas da Cultura 2, As;978-85-7480-651-8;José Guilherme Pereira Leite;Política, Economia, Cultura;R$ 56,00;
347;Manuais de Desenho da Escrita, Os;978-85-7480-518-4;Maria Helena Werneck Bomeny;Livros sobre livros, Design, Tipografia, Ilustrado;R$ 210,00;
348;Manual de Versificação Românica Medieval;85-7480-159-3;Segismundo Spina;Idade média, Crítica literária, Poesia, Literatura medieval;R$ 48,00;
349;Manual do Estilo Desconfiado;978-85-7480-774-4;Fernando Paixão;Literatura brasileira, Crítica literária, Teoria literária, Escrita;R$ 38,00;
350;Manuel Bandeira e a Música - com Três Poemas Visitados;978-85-7480-386-9;Pedro Marques;Música, Literatura brasileira, Crítica literária;R$ 44,00;
351;Marca do Leviatã, A - Linguagem e Poder em Hobbes;85-7480-116-X;Renato Janine Ribeiro;Política, Filosofia;R$ 42,00;
352;Mariannita Luzzati;978-85-7480-447-7;Gabriel Pérez Barreiro;Arte, Ilustração e pintura;R$ 45,00;
353;Marx, Zola e a Prosa Realista;978-85-7480-453-8;Salete de Almeida Cara;Crítica literária, Literatura estrangeira, Sociologia e Sociedade;R$ 55,00;
354;MASSAO OHNO, Editor;978-85-7480-839-0;Jose Armando Pereira da Silva, Massao Ohno;Ilustrado, Design, Artes gráficas, História, Biografia, Editoração, Livros sobre livros;R$ 180,00;
355;Matéria Lítica: Drummond, Cabral, Neruda e Paz;978-85-7480-726-3;Mario Higa;Crítica literária, Literatura, Poesia;R$ 60,00;
356;Matinas & Bagatelas;85-7480-144-5;Maria do Carmo Campos;Literatura brasileira, Poesia;R$ 54,00;
357;Matrizes Impressas do Oral: Conto Russo no Sertão;978-85-7480-676-1;Jerusa Pires Ferreira;Ilustrado, Livros sobre livros, Teoria literária, História, Literatura, Cordel;R$ 68,00;
358;Matzá com Moussaká - Histórias de Judeus e Gregos;978-85-7480-351-7;Táki Athanássios Cordás;Memória, História, Judaísmo, Cultura grega, Ilustrado;R$ 58,00;
359;Máquina Peluda, A;85-85851-34-1;Ademir Assunção;Literatura brasileira, Contos;R$ 46,00;
360;Mário, Otávio - Cartas de Mário de Andrade a Otávio Dias Leite;85-7060-464-5;Marcos Antonio de Moraes;Memória, Cultura;R$ 51,00;
361;Mão do Deserto, A;978-65-5580-041-8;Paulo Franchetti;Memória, Literatura;R$ 51,00;
362;Música do Parnaso;85-7480-312-X;Manuel Botelho de Oliveira, Ivan Teixeira;Crítica literária, Poesia, Literatura portuguesa, Fac-símile;R$ 115,00;
363;Medeia;978-85-7480-658-7;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Literatura clássica, Teatro, Bilíngue, Cultura grega, Tradução;R$ 42,00;
364;Medicina de Os Lusíadas, A;85-7480-203-4;Pedro Nava;Crítica literária, Medicina e Saúde, Literatura portuguesa;R$ 42,00;
365;Melancolias, Mercadorias: Dorival Caymmi, Chico Buarque, o Pregão de Rua e a Canção Popular-Comercial no Brasil;978-85-7480-502-3;Walter Garcia;Música, Crítica musical;R$ 62,00;
366;Memória Futura;978-85-7480-519-1;Paulo Franchetti;Literatura brasileira, Poesia;R$ 35,00;
367;Memórias Biográficas de Pintores Extraordinários;85-7480-041-4;William Beckford;Arte, Memória;R$ 40,00;
368;Memórias de um Sargento de Milícias;978-85-7480-728-7;Mamede Mustafa Jarouche, Manuel Antônio de Almeida;Literatura brasileira, Romance, Ilustrado;R$ 49,00;
369;Memórias Póstumas de Brás Cubas;978-85-7480-598-6;Antonio Medina Rodrigues, Machado de Assis;Literatura brasileira, Romance, Ilustrado;R$ 45,00;
370;Memorial de Mogi das Cruzes;85-7480-101-1;José Sebastião Witter;Literatura brasileira, Crônicas;R$ 58,00;
371;Memorial de um Herege;85-7480-018-X;Samuel Reibscheid;Literatura brasileira, Romance;R$ 54,00;
372;Mensagem;978-85-7480-702-7;António Apolinário Lourenço, Kaio Romero, Fernando Pessoa;Poesia, Literatura portuguesa, Ilustrado;R$ 45,00;
373;Meu Fausto (Esboços);978-85-7480-542-9;Paul Valéry;Literatura estrangeira, Teatro, Tradução;R$ 55,00;
374;Milton Hatoum - Itinerário para um Certo Relato;85-7480-315-4;Marleine Paula Marcondes e Ferreira de Toledo;Literatura brasileira, Crítica literária;R$ 52,00;
375;Mistério do Leão Rampante, O;85-7480-302-2;Rodrigo Lacerda;Humor, Literatura brasileira, Romance, Ilustrado;R$ 98,00;
376;Mistérios do Dicionário;85-7480-252-2;João Alexandre Barbosa;Crítica literária, Literatura;R$ 60,00;
377;Modernidade entre Tapumes, A;978-65-5580-008-1;Vagner Camilo;Crítica literária, Literatura, Poesia, Teoria literária;R$ 112,00;
378;Modernização pelo Avesso - Impasses da Representação Literária em Os Contos de Belazarte, de Mário de Andrade;978-85-7480-697-6;Wilson José Flores Jr.;Literatura brasileira, Crítica literária, Estudos Literários;R$ 52,00;
379;Modos de Leitura - Crítica e Tradução;978-65-5580-047-0;Gustavo Piqueira, Mario Higa;Crítica literária;R$ 62,00;
380;Modos de Morar nos Apartamentos Duplex;978-65-5580-044-9;Sabrina Fontenele;Ilustrado, Sociologia e Sociedade, Arquitetura, Urbanismo;R$ 95,00;
381;Moeda da Arte, A - A Dinâmica dos Campos Artístico e Econômico no Patrocínio;978-85-7480-653-2;Eduardo Fragoaz;Política, Economia, Cultura;R$ 71,00;
382;Moleque de Fábrica - Uma Arqueologia da Memória Social;978-85-7480-788-1;José de Souza Martins;Memória, Ilustrado, Sociologia e Sociedade, Política;R$ 82,00;
383;Morte aos Papagaios;85-7480-265-4;Gustavo Piqueira;Literatura brasileira, Design, Crônicas, Ilustrado;R$ 69,00;
384;Muita Sorte  Pouco Juízo;85-7480-106-2;José Roberto de Alencar;Memória, Jornalismo, Ilustrado;R$ 44,00;
385;Mulher no Escuro, A;978-85-7480-326-5;Cláudia Vasconcellos;Literatura brasileira, Contos, Teatro;R$ 52,00;
